date,P,T,E,Q,Qmm
01/01/1984,4.1,0.5,0.2,2640,0.6336
02/01/1984,15.9,0.2,0.2,3440,0.8256
03/01/1984,0.8,0.9,0.3,12200,2.928
04/01/1984,0,0.5,0.3,7600,1.824
05/01/1984,0,-1.6,0.1,6250,1.5
06/01/1984,0,0.9,0.3,5650,1.356
07/01/1984,0,3.5,0.4,5300,1.272
08/01/1984,0,4.4,0.4,4700,1.128
09/01/1984,2.9,7,0.5,3940,0.9456
10/01/1984,0,6.4,0.5,5300,1.272
11/01/1984,2.9,5.8,0.5,5000,1.2
12/01/1984,5.8,5.8,0.5,6250,1.5
13/01/1984,7.4,5.4,0.5,6600,1.584
14/01/1984,0,3.2,0.4,6950,1.668
15/01/1984,1.2,4.8,0.5,4190,1.0056
16/01/1984,0,6.3,0.5,4440,1.0656
17/01/1984,0,5.2,0.5,6950,1.668
18/01/1984,0.1,2.6,0.4,6950,1.668
19/01/1984,0,2.4,0.4,5650,1.356
20/01/1984,11.7,4.3,0.5,5300,1.272
21/01/1984,0,-0.2,0.2,6600,1.584
22/01/1984,0,-2.4,0.1,3940,0.9456
23/01/1984,0,-3.4,0.1,3940,0.9456
24/01/1984,3,-2.2,0.2,4700,1.128
25/01/1984,1.1,-1.2,0.2,4700,1.128
26/01/1984,13.9,-0.2,0.3,5000,1.2
27/01/1984,4.3,1.9,0.4,13100,3.144
28/01/1984,2,0.8,0.3,15300,3.672
29/01/1984,1.1,-2.1,0.2,8300,1.992
30/01/1984,0.6,-5.4,0,8300,1.992
31/01/1984,0,-5.1,0,7600,1.824
01/02/1984,5.6,2.6,0.4,8300,1.992
02/02/1984,1.8,5.3,0.6,11800,2.832
03/02/1984,6.1,7.4,0.7,11400,2.736
04/02/1984,1.8,4.4,0.5,13100,3.144
05/02/1984,0,5.2,0.6,9450,2.268
06/02/1984,0,10.5,0.9,10600,2.544
07/02/1984,3.5,12.5,1.1,10600,2.544
08/02/1984,10,4.7,0.6,12200,2.928
09/02/1984,0,3.1,0.5,15700,3.768
10/02/1984,2,2.9,0.5,10200,2.448
11/02/1984,9.1,5.2,0.7,11400,2.736
12/02/1984,3.7,3.6,0.6,10600,2.544
13/02/1984,23.5,3,0.5,9050,2.172
14/02/1984,1.6,2.3,0.5,14800,3.552
15/02/1984,0,1.6,0.5,15700,3.768
16/02/1984,2.9,5.4,0.7,12600,3.024
17/02/1984,3.9,5.8,0.8,14000,3.36
18/02/1984,1.3,4.1,0.7,16600,3.984
19/02/1984,0.6,3.3,0.6,14400,3.456
20/02/1984,0.1,1.9,0.5,11400,2.736
21/02/1984,1.6,4,0.7,11800,2.832
22/02/1984,1.8,4.1,0.7,11400,2.736
23/02/1984,0.6,3.4,0.7,11000,2.64
24/02/1984,0,6,0.9,10200,2.448
25/02/1984,0.7,4.3,0.7,8300,1.992
26/02/1984,3.1,3.9,0.7,5950,1.428
27/02/1984,0.3,3.6,0.7,4440,1.0656
28/02/1984,0,1.9,0.6,7950,1.908
29/02/1984,0,2.6,0.7,7600,1.824
01/03/1984,0,2.6,0.6,6250,1.5
02/03/1984,1.2,1.8,0.6,5950,1.428
03/03/1984,4,5.1,0.9,4700,1.128
04/03/1984,2.9,3.4,0.7,4440,1.0656
05/03/1984,5.3,2.3,0.6,4440,1.0656
06/03/1984,4.1,3.1,0.7,7600,1.824
07/03/1984,1.7,4.3,0.8,6950,1.668
08/03/1984,1.1,4,0.8,6250,1.5
09/03/1984,0,4,0.8,5650,1.356
10/03/1984,3.6,3.9,0.8,5000,1.2
11/03/1984,3.5,1.7,0.6,3940,0.9456
12/03/1984,0.2,2.7,0.7,3690,0.8856
13/03/1984,0,5.7,1.1,5650,1.356
14/03/1984,0,8.2,1.3,3940,0.9456
15/03/1984,0,8.5,1.4,3940,0.9456
16/03/1984,0,10.3,1.5,4190,1.0056
17/03/1984,0,9.2,1.4,4190,1.0056
18/03/1984,0,9.2,1.5,3040,0.7296
19/03/1984,0,10.1,1.6,1960,0.4704
20/03/1984,0,9.4,1.5,2280,0.5472
21/03/1984,2.1,7.8,1.4,2640,0.6336
22/03/1984,0,7.5,1.3,2640,0.6336
23/03/1984,0,7.7,1.4,2640,0.6336
24/03/1984,0,8.3,1.5,2280,0.5472
25/03/1984,0.2,10.5,1.7,1640,0.3936
26/03/1984,8.6,6.8,1.3,1640,0.3936
27/03/1984,2.2,5.9,1.2,3690,0.8856
28/03/1984,4.1,6.7,1.3,3240,0.7776
29/03/1984,0,4.5,1.1,3040,0.7296
30/03/1984,2.5,8,1.5,2640,0.6336
31/03/1984,0.1,8.3,1.6,3040,0.7296
01/04/1984,5.3,8.2,1.6,1640,0.3936
02/04/1984,0.2,10.9,1.9,1960,0.4704
03/04/1984,0,12.5,2.2,2280,0.5472
04/04/1984,1.9,12.5,2.2,2280,0.5472
05/04/1984,2,7,1.5,3240,0.7776
06/04/1984,3.8,8.8,1.7,3240,0.7776
07/04/1984,6.6,11.7,2.1,6250,1.5
08/04/1984,0.1,7.7,1.6,3440,0.8256
09/04/1984,0,6.2,1.4,3240,0.7776
10/04/1984,2.2,6.1,1.4,4190,1.0056
11/04/1984,16.8,5,1.3,6250,1.5
12/04/1984,6.6,3.1,1.1,9450,2.268
13/04/1984,0,5.1,1.3,9050,2.172
14/04/1984,4.1,5.4,1.4,7600,1.824
15/04/1984,3.4,4.6,1.3,7250,1.74
16/04/1984,3.1,2.5,1,5000,1.2
17/04/1984,3.2,3.2,1.1,9450,2.268
18/04/1984,0.3,4.6,1.3,11400,2.736
19/04/1984,4.3,2.6,1.1,10200,2.448
20/04/1984,0.1,3.1,1.1,9450,2.268
21/04/1984,2.9,6.1,1.6,8700,2.088
22/04/1984,2.1,5.2,1.4,7600,1.824
23/04/1984,1.7,6.2,1.6,5300,1.272
24/04/1984,0.1,7.2,1.8,6950,1.668
25/04/1984,0,2,1,7600,1.824
26/04/1984,0,3.4,1.2,6600,1.584
27/04/1984,0.9,3.5,1.2,5300,1.272
28/04/1984,0,3.6,1.3,5950,1.428
29/04/1984,0,8.2,2,5000,1.2
30/04/1984,0,11.6,2.5,3440,0.8256
01/05/1984,0,12,2.6,3040,0.7296
02/05/1984,0,13,2.8,4700,1.128
03/05/1984,1.8,10.9,2.4,4190,1.0056
04/05/1984,6.8,10,2.3,4700,1.128
05/05/1984,0.4,8.5,2.1,5300,1.272
06/05/1984,0,9.5,2.2,4440,1.0656
07/05/1984,0.3,10.2,2.4,3240,0.7776
08/05/1984,0.5,13.2,2.9,3440,0.8256
09/05/1984,3.2,10.9,2.5,3240,0.7776
10/05/1984,0.3,9.6,2.3,3440,0.8256
11/05/1984,7.7,9.3,2.3,3040,0.7296
12/05/1984,1.4,7.3,2,3690,0.8856
13/05/1984,24.5,5.4,1.7,3940,0.9456
14/05/1984,3.5,5.3,1.7,9450,2.268
15/05/1984,7.4,5.9,1.8,11400,2.736
16/05/1984,6.6,5.1,1.7,10200,2.448
17/05/1984,2.1,6,1.8,14000,3.36
18/05/1984,0,7.2,2,12600,3.024
19/05/1984,0.3,8.9,2.3,12200,2.928
20/05/1984,4.1,8.7,2.3,11000,2.64
21/05/1984,0,11,2.6,7250,1.74
22/05/1984,1.5,14.2,3.2,6950,1.668
23/05/1984,4.1,10.3,2.5,7950,1.908
24/05/1984,0,13.3,3,7600,1.824
25/05/1984,0,16.2,3.6,7250,1.74
26/05/1984,0,16.2,3.6,5300,1.272
27/05/1984,0.9,10.8,2.7,4700,1.128
28/05/1984,0,11,2.7,3440,0.8256
29/05/1984,0,14.6,3.3,4440,1.0656
30/05/1984,0,11.9,2.9,4190,1.0056
31/05/1984,0,10.8,2.7,4190,1.0056
01/06/1984,2.7,10.6,2.7,3940,0.9456
02/06/1984,1.1,11.4,2.8,3940,0.9456
03/06/1984,0,15.4,3.5,3690,0.8856
04/06/1984,0.2,18.2,4,2640,0.6336
05/06/1984,17.3,15.8,3.6,3040,0.7296
06/06/1984,0.1,9.9,2.6,3690,0.8856
07/06/1984,5.9,9.5,2.5,3940,0.9456
08/06/1984,0,9.3,2.5,3940,0.9456
09/06/1984,2.7,10.4,2.7,3240,0.7776
10/06/1984,0.2,10.7,2.7,2640,0.6336
11/06/1984,2.3,9.6,2.6,2440,0.5856
12/06/1984,0.2,10.8,2.7,2440,0.5856
13/06/1984,0.1,12.6,3.1,2280,0.5472
14/06/1984,8.4,12.8,3.1,2440,0.5856
15/06/1984,9,12.9,3.1,2840,0.6816
