date,P,T,E,Qls,Qmm
01/01/1984,7.09,-1.60835,0,14315.41667,0.4042
02/01/1984,10.47,-2.44165,0,14885.625,0.4203
03/01/1984,0,-10.41945,0,13167.91667,0.3718
04/01/1984,9.48,-10.89445,0,11737.08333,0.3314
05/01/1984,4.85,-7.2,0,14028.54167,0.3961
06/01/1984,3.24,-2.12775,0,15172.5,0.4284
07/01/1984,6.64,-0.4389,0,15746.25,0.4446
08/01/1984,7.37,-3.1472,0,15459.375,0.4365
09/01/1984,19.81,-1.99165,0,14885.625,0.4203
10/01/1984,15.17,-3.60555,0,14885.625,0.4203
11/01/1984,64.94,-2.28335,0,15459.375,0.4365
12/01/1984,11.44,-4.0139,0,16320,0.4608
13/01/1984,1.05,-8.3139,0,16890.20833,0.4769
14/01/1984,0,-8.93055,0,16320,0.4608
15/01/1984,0.41,-3.3639,0,16033.125,0.4527
16/01/1984,0.53,-3.1722,0,16890.20833,0.4769
17/01/1984,6.88,-0.5639,0,18066.04167,0.5101
18/01/1984,28.7,-0.81665,0,18522.91667,0.523
19/01/1984,18.77,0.5028,0,19440.20833,0.5489
20/01/1984,16.2,2.2278,0,40081.04167,1.1317
21/01/1984,34.45,2.10555,0,64415.83333,1.8188
22/01/1984,20.64,-0.0917,0,60123.33333,1.6976
23/01/1984,12.1,-2.20555,0,41798.75,1.1802
24/01/1984,6.34,-4.04445,0,32349.58333,0.9134
25/01/1984,7.81,-7.1361,0,27540,0.7776
26/01/1984,1.68,-13.4417,0,21101.25,0.5958
27/01/1984,0.09,-12.20835,0,17205.41667,0.4858
28/01/1984,1.77,-11.6111,0,16033.125,0.4527
29/01/1984,4.47,-10.7056,0,16320,0.4608
30/01/1984,0.19,-9.78335,0,16603.33333,0.4688
31/01/1984,5.43,-10.95555,0,16890.20833,0.4769
01/02/1984,0.53,-12.975,0,15746.25,0.4446
02/02/1984,0,-11.2361,0,15172.5,0.4284
03/02/1984,0,-10.36945,0,14885.625,0.4203
04/02/1984,0.6,-10.63335,0,16033.125,0.4527
05/02/1984,8.42,-7.85835,0,17750.83333,0.5012
06/02/1984,5.71,-3.36665,0,20353.95833,0.5747
07/02/1984,6.98,-1.20835,0,21586.45833,0.6095
08/02/1984,7.42,-1.1861,0,21327.91667,0.6022
09/02/1984,1.78,-1.06665,0.012,20842.70833,0.5885
10/02/1984,0,-5.03055,0.032,19666.875,0.5553
11/02/1984,2.19,-5.49725,0.053,19897.08333,0.5618
12/02/1984,7.22,-1.875,0.075,18979.79167,0.5359
13/02/1984,29.5,-0.0972,0.097,24851.875,0.7017
14/02/1984,3.91,-3.46665,0.12,26739.58333,0.755
15/02/1984,22.7,-1.8472,0.143,25106.875,0.7089
16/02/1984,15.3,0.85,0.167,32636.45833,0.9215
17/02/1984,14.87,-1.00835,0.192,46665,1.3176
18/02/1984,13.72,1.05835,0.217,46665,1.3176
19/02/1984,1.09,0.5361,0.242,46665,1.3176
20/02/1984,9.88,0.15835,0.269,46665,1.3176
21/02/1984,1.31,-3.43055,0.295,46951.875,1.3257
22/02/1984,22.43,-1.7028,0.323,44090.20833,1.2449
23/02/1984,5.81,-1.6333,0.35,42659.375,1.2045
24/02/1984,20.75,-2.65,0.379,39794.16667,1.1236
25/02/1984,4.1,-2.79445,0.407,36071.875,1.0185
26/02/1984,14.58,-4.35555,0.437,33210.20833,0.9377
27/02/1984,58.05,-0.3861,0.466,46951.875,1.3257
28/02/1984,21.63,3.44725,0.497,107075.2083,3.0233
29/02/1984,20.88,0.53055,0.527,129979.1667,3.67
01/03/1984,9.1,-3.71665,0.558,106501.4583,3.0071
02/03/1984,35.21,-1.62225,0.59,88750.625,2.5059
03/03/1984,6.18,-2.88335,0.622,81592.91667,2.3038
04/03/1984,5.27,-2.7361,0.655,70712.91667,1.9966
05/03/1984,19.35,0.69725,0.687,65276.45833,1.8431
06/03/1984,18.22,1.14165,0.721,82166.66667,2.32
07/03/1984,0.11,-2.30555,0.754,89324.375,2.5221
08/03/1984,0.11,0.36945,0.789,81306.04167,2.2957
09/03/1984,0,3.68055,0.823,75869.58333,2.1422
10/03/1984,1.81,4.69165,0.858,87319.79167,2.4655
11/03/1984,16.3,3.1,0.893,121673.9583,3.4355
12/03/1984,3.55,2.08055,0.929,148587.0833,4.1954
13/03/1984,8.68,2.45835,0.965,165190.4167,4.6642
14/03/1984,8.4,3.175,1.001,190672.7083,5.3837
15/03/1984,0.58,4.92775,1.037,188094.375,5.3109
16/03/1984,0,7.0278,1.074,198400.625,5.6019
17/03/1984,0,6.14445,1.111,230180,6.4992
18/03/1984,32.43,2.33055,1.149,246786.875,6.9681
19/03/1984,2.58,2.1361,1.187,235620,6.6528
20/03/1984,0,3.2889,1.225,210998.3333,5.9576
21/03/1984,0.06,2.64445,1.263,190672.7083,5.3837
22/03/1984,6.68,4.675,1.301,178932.0833,5.0522
23/03/1984,7.81,2.99445,1.34,207276.0417,5.8525
24/03/1984,4.43,-0.05555,1.379,195538.9583,5.5211
25/03/1984,5.98,-0.89445,1.418,173778.9583,4.9067
26/03/1984,2.34,-5.0917,1.457,148013.3333,4.1792
27/03/1984,0.39,-2.66115,1.497,128831.6667,3.6376
28/03/1984,1.1,-1.24165,1.536,114232.9167,3.2254
29/03/1984,4.14,-0.4278,1.576,104210,2.9424
30/03/1984,1.57,2.63055,1.616,95051.25,2.6838
31/03/1984,0.11,3.1,1.656,92759.79167,2.6191
01/04/1984,8.72,3.5111,1.697,97626.04167,2.7565
02/04/1984,0.3,1.2361,1.737,119956.25,3.387
03/04/1984,0,-0.9861,1.778,120530,3.4032
04/04/1984,0.56,1.38335,1.818,119956.25,3.387
05/04/1984,2.14,4.01665,1.859,119956.25,3.387
06/04/1984,22.1,3.925,1.899,150304.7917,4.2439
07/04/1984,12.56,1.37775,1.94,175783.5417,4.9633
08/04/1984,8.56,0.14725,1.981,163189.375,4.6077
09/04/1984,2.19,0.225,2.022,148587.0833,4.1954
10/04/1984,1.66,1.1333,2.063,137420.2083,3.8801
11/04/1984,6.37,1.7111,2.104,131980.2083,3.7265
12/04/1984,16.9,1.95275,2.144,132553.9583,3.7427
13/04/1984,1.62,-0.8056,2.185,123391.6667,3.484
14/04/1984,0.49,0.33055,2.226,113659.1667,3.2092
15/04/1984,7.16,2.225,2.267,109079.7917,3.0799
16/04/1984,18.82,0.73615,2.307,113659.1667,3.2092
17/04/1984,1.17,-2.525,2.348,106501.4583,3.0071
18/04/1984,0.07,-1.79165,2.389,99343.75,2.805
19/04/1984,0.43,-0.76945,2.429,94477.5,2.6676
20/04/1984,0,2.21385,2.469,93333.54167,2.6353
21/04/1984,5.97,2.2778,2.51,94477.5,2.6676
22/04/1984,1.86,-0.0417,2.55,92472.91667,2.611
23/04/1984,0.06,2.90555,2.59,92472.91667,2.611
24/04/1984,3.71,6.30275,2.63,108506.0417,3.0637
25/04/1984,5.65,2.49725,2.669,119956.25,3.387
26/04/1984,0.13,3.1333,2.709,116520.8333,3.29
27/04/1984,0.05,5.7861,2.748,126543.75,3.573
28/04/1984,0.57,6.30555,2.787,160037.2917,4.5187
29/04/1984,4.41,1.9778,2.826,187237.2917,5.2867
30/04/1984,0.31,-0.05555,2.865,169773.3333,4.7936
01/05/1984,0,1.11945,2.903,154313.9583,4.3571
02/05/1984,0,3.9,2.942,156031.6667,4.4056
03/05/1984,0,5.7889,2.98,163759.5833,4.6238
04/05/1984,0.01,6.20835,3.017,202983.5417,5.7313
05/05/1984,0,6.5583,3.055,240773.125,6.7983
06/05/1984,1.68,6.575,3.092,286007.2917,8.0755
07/05/1984,5.49,5.82775,3.129,309198.125,8.7303
08/05/1984,23,3.66945,3.165,343552.2917,9.7003
09/05/1984,2.72,4.13055,3.201,329236.875,9.2961
10/05/1984,1.64,4.44445,3.237,300609.5833,8.4878
11/05/1984,1.28,5.49725,3.273,281998.125,7.9623
12/05/1984,0,8.14445,3.308,294882.7083,8.3261
13/05/1984,0,9.55555,3.343,357867.7083,10.1045
14/05/1984,1.58,11.75555,3.377,449480,12.6912
15/05/1984,1.49,11.5778,3.411,586903.75,16.5714
16/05/1984,0.07,12.0889,3.445,675654.375,19.0773
17/05/1984,4.3,11.24165,3.478,689969.7917,19.4815
18/05/1984,0,7.2778,3.511,612669.375,17.2989
19/05/1984,0,7.3389,3.544,584038.5417,16.4905
20/05/1984,9.42,9.8583,3.576,586903.75,16.5714
21/05/1984,5.97,8.30555,3.607,632711.6667,17.8648
22/05/1984,3.58,7.7389,3.638,615531.0417,17.3797
23/05/1984,1.36,7.5778,3.669,558272.9167,15.763
24/05/1984,7.21,6.29165,3.699,518191.875,14.6313
25/05/1984,0.77,4.44725,3.729,452345.2083,12.7721
